t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.001,1.0993810029003015e-16,4.996669165768103e-07,1.6641707629994063e-10,1.0993810029003015e-16,1.1817803680091998e-16,1.0993810029003015e-16
1.0019999999999998,2.198762005800603e-16,9.98336328162687e-07,3.323361468833552e-10,2.198762005800603e-16,2.3635607360183997e-16,2.198762005800603e-16
1.0029999999999997,3.3003114130458755e-16,1.4960112188181114e-06,4.97759197141262e-10,3.3003114130458755e-16,3.5431726996826285e-16,3.3003114130458755e-16
1.0039999999999996,4.397524011601206e-16,1.992694560711168e-06,6.626882011889768e-10,4.397524011601206e-16,4.718447854656915e-16,4.397524011601206e-16
1.0049999999999994,5.880712583561376e-16,2.488389314179995e-06,8.271251253355594e-10,5.473052566706826e-16,5.898059818321144e-16,5.499073418846478e-16
1.0059999999999993,7.363901155521546e-16,2.983098427790029e-06,9.910719250480482e-10,6.539907504432563e-16,7.068998164605489e-16,6.591949208711867e-16
1.0069999999999992,8.847089727481716e-16,3.476824838391686e-06,1.1545305466861833e-09,7.615436059538183e-16,8.248610128269718e-16,7.693498615957139e-16
1.0079999999999991,1.0321604682062002e-15,3.9695714711789065e-06,1.3175029244666403e-09,8.673617379884035e-16,9.419548474554063e-16,8.777700788442644e-16
1.008999999999999,1.1813466871402056e-15,4.461341239750741e-06,1.479990989136648e-09,9.749145934989656e-16,1.0599160438218291e-15,9.870576578308032e-16
1.009999999999999,1.3287981825982342e-15,4.952137046158184e-06,1.6419966532288388e-09,1.0824674490095276e-15,1.1761425167122752e-15,1.096345236817342e-15
1.0109999999999988,1.4762496780562628e-15,5.441961780976168e-06,1.8035218266737596e-09,1.1900203045200897e-15,1.294103713078698e-15,1.205632815803881e-15
1.0119999999999987,1.6219664500383146e-15,5.930818323347797e-06,1.964568407258893e-09,1.2958384365546749e-15,1.4103301859691442e-15,1.3149203947904198e-15
1.0129999999999986,1.7676832220203664e-15,6.418709541048534e-06,2.1251382840981048e-09,1.403391292065237e-15,1.5265566588595902e-15,1.4242079737769586e-15
1.0139999999999985,1.9116652705264414e-15,6.905638290536503e-06,2.285233335896919e-09,1.5092094240998222e-15,1.6427831317500363e-15,1.5317608292875207e-15
1.0149999999999983,2.0573820425084932e-15,7.39160741701321e-06,2.44485543615669e-09,1.6167622796103842e-15,1.7590096046404824e-15,1.6410484082740595e-15
1.0159999999999982,2.203098814490545e-15,7.876619754473846e-06,2.6040064410315367e-09,1.7243151351209463e-15,1.8735013540549517e-15,1.7486012637846216e-15
1.0169999999999981,2.348815586472597e-15,8.360678125769738e-06,2.7626882066755787e-09,1.8318679906315083e-15,1.9914625504213745e-15,1.8561541192951836e-15
1.017999999999998,2.4945323584546486e-15,8.843785342653454e-06,2.9209025753651474e-09,1.9394208461420703e-15,2.105954299835844e-15,1.9637069748057456e-15
1.018999999999998,2.6367796834847468e-15,9.325944205842984e-06,3.0786513789682335e-09,2.0469737016526324e-15,2.220446049250313e-15,2.0712598303163077e-15
1.0199999999999978,2.779027008514845e-15,9.807157505068581e-06,3.2359364424139336e-09,2.1510571102112408e-15,2.3349377986647823e-15,2.1788126858268697e-15
1.0209999999999977,2.921274333544943e-15,1.0287428019131739e-05,3.3927595836924507e-09,2.2551405187698492e-15,2.4494295480792516e-15,2.2863655413374318e-15
1.0219999999999976,3.066991105526995e-15,1.0766758515957237e-05,3.5491226103856466e-09,2.3626933742804113e-15,2.5673907444456745e-15,2.3973878437999474e-15
1.0229999999999975,3.209238430557093e-15,1.1245151752634769e-05,3.7050273161975955e-09,2.4667767828390197e-15,2.6818824938601438e-15,2.5049406993105094e-15
1.0239999999999974,3.3480163086352377e-15,1.1722610475491807e-05,3.860475491362925e-09,2.570860191397628e-15,2.7929047963226594e-15,2.609024107869118e-15
1.0249999999999972,3.490263633665336e-15,1.219913742014217e-05,4.015468922646814e-09,2.67841304690819e-15,2.9073965457371287e-15,2.71657696337968e-15
1.0259999999999971,3.632510958695434e-15,1.2674735311520718e-05,4.170009375997763e-09,2.7824964554667986e-15,3.021888295151598e-15,2.824129818890242e-15
1.026999999999997,3.778227730677486e-15,1.3149406863956214e-05,4.324098620833716e-09,2.8900493109773606e-15,3.139849491518021e-15,2.9351521213527576e-15
1.027999999999997,3.920475055707584e-15,1.3623154781202546e-05,4.477738402286491e-09,2.994132719535969e-15,3.25434124093249e-15,3.0427049768633196e-15
1.0289999999999968,4.062722380737682e-15,1.4095981756518522e-05,4.630930475896244e-09,3.101685575046531e-15,3.3688329903469594e-15,3.1502578323738817e-15
1.0299999999999967,4.201500258815827e-15,1.4567890472685224e-05,4.783676572917006e-09,3.2057689836051395e-15,3.4833247397614286e-15,3.25434124093249e-15
1.0309999999999966,4.343747583845925e-15,1.503888360208927e-05,4.935978428072252e-09,3.3133218391157016e-15,3.597816489175898e-15,3.361894096443052e-15
1.0319999999999965,4.4825254619240695e-15,1.55089638067471e-05,5.08783776220767e-09,3.4208746946262636e-15,3.712308238590367e-15,3.469446951953614e-15
1.0329999999999964,4.621303340002214e-15,1.597813373836049e-05,5.239256278821713e-09,3.524958103184872e-15,3.823330541052883e-15,3.573530360512223e-15
1.0339999999999963,4.760081218080359e-15,1.6446396038392874e-05,5.390235695290624e-09,3.6290415117434804e-15,3.9343528435153985e-15,3.677613769070831e-15
1.0349999999999961,4.898859096158503e-15,1.6913753338072823e-05,5.54077769776562e-09,3.733124920302089e-15,4.045375145977914e-15,3.7816971776294395e-15
1.035999999999996,5.044575868140555e-15,1.738020825849118e-05,5.690883986275708e-09,3.8441472227646045e-15,4.163336342344337e-15,3.892719480091955e-15
1.036999999999996,5.1833537462186996e-15,1.7845763410601068e-05,5.8405562261554245e-09,3.948230631323213e-15,4.274358644806853e-15,3.9968028886505635e-15
1.0379999999999958,5.322131624296844e-15,1.8310421395315024e-05,5.989796096617095e-09,4.052314039881821e-15,4.385380947269368e-15,4.100886297209172e-15
1.0389999999999957,5.4539706084710815e-15,1.877418480351195e-05,6.138605256056362e-09,4.15639744844043e-15,4.496403249731884e-15,4.2049697057677804e-15
1.0399999999999956,5.592748486549226e-15,1.9237056216127313e-05,6.286985369807763e-09,4.260480856999038e-15,4.6074255521944e-15,4.309053114326389e-15
1.0409999999999955,5.731526364627371e-15,1.969903820416008e-05,6.434938082389152e-09,4.364564265557647e-15,4.718447854656915e-15,4.413136522884997e-15
1.0419999999999954,5.870304242705515e-15,2.0160133328742114e-05,6.582465031379492e-09,4.468647674116255e-15,4.829470157119431e-15,4.517219931443606e-15
1.0429999999999953,6.00908212078366e-15,2.062034414118674e-05,6.729567854357743e-09,4.5727310826748635e-15,4.947431353485854e-15,4.628242233906121e-15
1.0439999999999952,6.140921104957897e-15,2.1079673183016512e-05,6.8762481611472914e-09,4.669875597329565e-15,5.0584536559483695e-15,4.73232564246473e-15
1.044999999999995,6.279698983036042e-15,2.153812298603952e-05,7.022507582388204e-09,4.773959005888173e-15,5.176414852314792e-15,4.8433479449272454e-15
1.045999999999995,6.411537967210279e-15,2.199569607237023e-05,7.168347720964974e-09,4.871103520542874e-15,5.287437154777308e-15,4.947431353485854e-15
