proper,id,hip,hd,hr,gl,bf,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
Avior,40921,41037,71129,3307,,Eps Car,8.375236,-59.509483,185.5288,-25.34,22.72,2,1.86,-4.482,K3III+B2V,1.196,-54.83708,76.515238,-159.872623,7.66E-06,2.84E-05,8.61E-06,2.192631676,-1.038636414,-1.23E-07,1.10E-07,Eps,,Car,1,40921,,5405.053537,,,
Saiph,27298,27366,38771,2004,,53Kap Ori,5.795941,-9.669605,198.4127,1.55,-1.2,21,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-3.70E-07,2.10E-05,-4.75E-06,1.517373893,-0.16876644,7.51E-09,-5.82E-09,Kap,53,Ori,1,27298,,5095.654806,,,
Enif,106972,107315,206778,8308,,8Eps Peg,21.736433,9.875011,211.4165,30.02,1.38,5,2.38,-4.246,K2Ibvar,1.52,172.769915,-116.330918,36.25782,2.12E-05,2.28E-05,2.27E-06,5.690584775,0.17235146,1.46E-07,6.69E-09,Eps,8,Peg,1,106972,,4349.106072,Eps,2.404,2.364
Mintaka,25865,25930,36486,1852,,34Del Ori,5.533445,-0.299092,212.3142,1.67,0.56,16,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,2.90E-07,1.65E-05,4.90E-07,1.448652417,-0.00522014,8.10E-09,2.71E-09,Del,34,Ori,1,25865,,4943.10687,Del,2.334,2.234
Alnitak,26662,26727,37742,1948,,50Zet Ori,5.679313,-1.942572,225.7336,3.99,2.54,18,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-2.80E-06,1.88E-05,2.15E-06,1.486840687,-0.033904281,1.93E-08,1.23E-08,Zet,50,Ori,1,26662,,8937.169609,,,
Tureis,45425,45556,80404,3699,,Iot Car,9.284838,-59.275229,234.7418,-19.03,13.11,13,2.21,-4.643,A8Ib,0.189,-90.887872,78.251756,-201.791538,-7.40E-07,2.92E-05,-3.81E-06,2.430764937,-1.034547914,-9.23E-08,6.36E-08,Iot,,Car,1,45425,,6269.024975,,,
Rigel,24378,24436,34085,1713,,19Bet Ori,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,1.82E-06,2.12E-05,-3.77E-06,1.372430369,-0.143145631,9.07E-09,-2.71E-09,Bet,19,Ori,1,24378,,51665.42426,,,
Sheliak,92133,92420,174638,7106,,10Bet Lyr,18.834665,33.362667,294.9853,1.1,-4.46,-19,3.52,-3.829,A8:V comp SB,0.003,53.40884,-240.514817,162.223134,-1.22E-06,1.28E-05,-1.60E-05,4.930903799,0.582288386,5.33E-09,-2.16E-08,Bet,10,Lyr,1,92133,,2962.101936,Bet,4.259,3.329
Naos,39318,39429,66811,3165,,Zet Pup,8.059737,-40.003148,332.2259,-30.82,16.77,-24,2.21,-5.397,O5IAf,-0.269,-130.674899,218.376203,-213.564535,4.33E-05,2.43E-05,3.65E-05,2.110034133,-0.698186638,-1.49E-07,8.13E-08,Zet,,Pup,1,39318,,12554.51674,Zet,2.224,2.194
Deneb,101767,102098,197345,7924,,50Alp Cyg,20.690532,45.280338,432.9004,1.56,1.55,-5,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-1.33E-06,6.62E-06,-1.34E-06,5.416768542,0.790290983,7.56E-09,7.51E-09,Alp,50,Cyg,1,101767,,51617.86055,Alp,1.294,1.224
Red Rectangle,30016,30089,44179,,,,6.332838,-10.637414,440.5286,-10.98,-21.1,0,8.85,0.63,B8,0.344,-37.678828,431.31548,-81.318571,2.41E-05,-6.25E-06,-4.43E-05,1.657933057,-0.185657901,-5.32E-08,-1.02E-07,,,Mon,1,30016,,48.75284901,V777,8.897,8.767
Wezen,34354,34444,54605,2693,,25Del CMa,7.139857,-26.3932,492.6108,-2.75,3.33,34,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-3.92E-06,3.51E-05,-8.33E-06,1.869210132,-0.460648234,-1.33E-08,1.61E-08,Del,25,CMa,1,34354,,39192.23225,,,
Sadr,100128,100453,194093,7796,,37Gam Cyg,20.370473,40.256679,561.7978,2.43,-0.93,-8,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,2.70E-06,7.60E-06,-7.22E-06,5.332977255,0.702611598,1.18E-08,-4.51E-09,Gam,37,Cyg,1,100128,,35253.31812,,,
Cygnus X-1,97987,98298,226868,,,,19.972688,35.201604,595.2381,-3.82,-7.62,-2.7,8.84,-0.033,B0Ib,0.73,240.17499,-422.950898,343.12808,-4.44E-06,-1.45E-05,-1.96E-05,5.228837433,0.614383894,-1.85E-08,-3.69E-08,,,Cyg,1,97987,,89.78421709,V1357,8.883,8.793
Alnilam,26246,26311,37128,1903,,46Eps Ori,5.603559,-1.20192,606.0606,1.49,-1.06,26,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-1.61E-06,2.68E-05,-3.67E-06,1.467008387,-0.020977458,7.22E-09,-5.14E-09,Eps,46,Ori,1,26246,,67483.87309,Eps,1.717,1.667
Aludra,35806,35904,58350,2827,,31Eta CMa,7.401584,-29.303104,609.7561,-3.76,6.66,41,2.45,-6.476,B5Ia,-0.083,-190.762166,496.337122,-298.432917,-6.20E-06,4.71E-05,-3.36E-06,1.937730188,-0.511435637,-1.82E-08,3.23E-08,Eta,31,CMa,1,35806,,33915.63869,Eta,2.509,2.409
Arneb,25920,25985,36673,1865,,11Alp Lep,5.545504,-17.822289,680.2721,3.27,1.54,24,2.58,-6.583,F0Ib,0.211,76.877195,643.047236,-208.208,-7.75E-06,2.60E-05,-2.68E-06,1.451809652,-0.311057615,1.59E-08,7.47E-09,Alp,11,Lep,1,25920,,37428.29122,,,
Hatsya,26176,26241,37043,1899,,44Iot Ori,5.590551,-5.909901,714.2857,2.27,-0.62,22,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-5.44E-06,2.29E-05,-4.45E-06,1.463602742,-0.103147236,1.10E-08,-3.01E-09,Iot,44,Ori,1,26176,,35285.80258,,,
3C 273,60731,60936,,,,,12.485193,2.052398,100000,-11.01,4.38,0,12.88,-7.12,,0.12,-99130.70606,-12660.05862,3581.344963,-0.00060072,0.00530397,0.00212194,3.268615816,0.03582111,-5.34E-08,2.12E-08,,,,1,60731,,61376.20052,,13.034,12.694
Campbell's Hydrogen Star,95992,96295,184738,,,,19.579231,30.516371,100000,-4.16,-10.19,-30.4,10,-10,WC...,-0.013,34611.2841,-78889.8449,50778.45341,-0.00084972,-0.00308271,-0.00427137,5.125830766,0.532611152,-2.02E-08,-4.94E-08,,,Cyg,1,95992,,870963.59,V1966,10.048,9.938
Babcock's star,111893,112247,215441,,,,22.735418,55.589226,100000,4.96,-0.98,0,8.83,-11.17,A0p,0.031,53443.38342,-18369.41072,82500.72435,0.00115224,0.00214649,-0.00026848,5.952118392,0.970215017,2.40E-08,-4.75E-09,,,Lac,1,111893,,2558585.887,GL,8.907,8.757
