proper,id,hip,hd,hr,gl,bf,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
Kornephoros,80571,80816,148856,6148,,27Bet Her,16.503668,21.489613,42.6621,-98.43,-14.49,-26,2.78,-0.37,G8III,0.947,-15.155861,-36.689058,15.62843,-9.79E-06,2.96E-05,-1.25E-05,4.320650131,0.375064505,-4.77E-07,-7.02E-08,Bet,27,Her,1,80571,,122.4616199,,,
Achernar,7574,7588,10144,472,,Alp Eri,1.628556,-57.236757,42.7533,88.02,-40.08,16,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-5.84E-06,1.74E-05,-1.83E-05,0.426355066,-0.998969869,4.27E-07,-1.94E-07,Alp,,Eri,1,7574,,1051.961874,Alp,0.487,0.427
Kaus Australis,89906,90185,169022,6879,,20Eps Sgr,18.402868,-34.384616,43.9367,-39.61,-124.05,-15,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-1.13E-05,2.65E-05,-1.31E-05,4.817859453,-0.600124762,-1.92E-07,-6.01E-07,Eps,20,Sgr,1,89906,,323.2957534,,,
Kraz,61166,61359,109379,4786,,9Bet Crv,12.573121,-23.396759,44.6628,0.86,-56,-8,2.65,-0.6,G5II,0.893,-40.529889,-6.127261,-17.73539,1.22E-05,1.66E-06,-7.88E-06,3.2916353,-0.408350481,4.17E-09,-2.71E-07,Bet,9,Crv,1,61166,,151.3561248,,,
Gienah Ghurab,59621,59803,106625,4662,,4Gam Crv,12.263437,-17.541929,47.1032,-159.58,22.31,-4,2.58,-0.785,B8III,-0.107,-44.805937,-3.095058,-14.197066,-1.50E-07,3.65E-05,6.09E-06,3.210560407,-0.306164426,-7.74E-07,1.08E-07,Gam,4,Crv,1,59621,,179.4733627,,,
Etamin,87561,87833,164058,6705,,33Gam Dra,17.943437,51.488895,47.3037,-8.52,-23.05,-28,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-1.75E-06,1.37E-05,-2.57E-05,4.697580792,0.898650744,-4.13E-08,-1.12E-07,Gam,33,Dra,1,87561,,247.5141318,,,
Nihal,25542,25606,36079,1829,,9Bet Lep,5.470756,-20.759441,49.1642,-5.03,-85.92,-14,2.81,-0.648,G5II,0.807,6.349344,45.531613,-17.425966,-1.66E-06,-2.06E-05,-1.41E-05,1.432240699,-0.362320595,-2.44E-08,-4.17E-07,Bet,9,Lep,1,25542,,158.1976399,,,
Acamar,13813,13847,18622,897,,The1Eri,2.971023,-40.304672,49.4315,-53.53,25.71,12,2.88,-0.59,A4III+...,0.128,26.85749,26.453029,-31.974932,1.85E-05,2.30E-07,-3.24E-06,0.777812118,-0.703449236,-2.60E-07,1.25E-07,The-1,,Eri,1,13813,,149.9684836,,,
Gomeisa,36087,36188,58715,2845,,3Bet CMi,7.452512,8.289315,49.5786,-50.28,-38.45,22,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,2.46E-06,2.64E-05,-5.90E-06,1.951063059,0.144675847,-2.44E-07,-1.86E-07,Bet,3,CMi,1,36087,,149.4169957,Bet,2.896,2.876
Peacock,100425,100751,193924,7790,,Alp Pav,20.427459,-56.73509,54.8246,7.71,-86.15,2,1.94,-1.755,B2IV,-0.118,17.850262,-24.200974,-45.841245,-9.05E-06,1.57E-05,-1.43E-05,5.347896379,-0.990214122,3.74E-08,-4.18E-07,Alp,,Pav,1,100425,,438.5306978,,,
