,Name,Epoch,a,e,i,omega,Omega,M,H,G
4902,Ichikawa,58600,3.1457279,0.18378133,2.54305,250.92452000000003,90.7699,132.5598123,12.6,0.15
4903,Makio,58600,2.3891722,0.12955496,10.12128,266.4669,228.94039,289.6196842,12.6,0.15
4904,Hiromi,58600,2.600213,0.16951066,12.42641,176.23603,198.40619,120.9148905,12.2,0.15
4905,Seneferu,58600,2.1768266,0.21498355,1.6514799999999998,199.06495,120.00523,118.1323598,15.0,0.15
4906,Zoser,58600,3.1781315,0.09255894,5.99445,301.73732,136.49731,56.8768692,12.3,0.15
4907,Ward,58600,2.1884871,0.23379449,4.57225,166.03701999999996,190.17379,156.49409690000005,13.7,0.15
4908,Couteau,58600,2.2732618,0.24625913,2.40857,235.16089,114.10355,122.1377627,13.4,0.15
4909,Kawasato,58600,2.4414832,0.32472925,4.99675,155.03066,180.02444,84.05863719999998,13.4,0.15
4910,Rosenzweig,58600,2.6369253,0.18075343,13.03858,157.61033,209.78371,125.4582371,12.1,0.15
4911,Emilhaury,58600,2.3023023,0.1376238,3.66858,206.18799,192.00184,277.0037314,13.1,0.15
4912,Wangxuan,58600,2.4426772,0.18893608,3.04584,277.47602,41.67899,43.9011923,13.2,0.15
4913,Pardina,58600,2.6260048,0.15831421,12.53197,151.91785,255.33138,57.7257306,11.6,0.15
4914,Solzhenitsyn,58600,3.0678879,0.28849839,3.84447,318.25157,118.33592,33.0214311,13.0,0.15
4915,Brumberg,58600,3.0439002,0.09583626,10.77367,275.00205,148.01193999999995,339.2839076,11.6,0.15
4916,Yurilvovia,58600,2.7416522,0.10858979,3.7123,198.05868,180.68522,359.5920686,12.8,0.15
4917,Rostropovich,58600,2.6381457,0.23386127,1.77005,195.397,205.32059,112.8043914,13.7,0.15
4918,Vishnevskaya,58600,2.2703015,0.24245967,5.01242,327.26875,350.13657,38.39406279999999,13.8,0.15
4919,Gromov,58600,2.6881385,0.08766569,2.42881,210.17747000000003,190.02351,27.753338800000005,13.1,0.15
4920,Volonte,58600,2.4122704,0.14280693,5.2081800000000005,145.71361000000005,233.13819,93.955519,13.5,0.15
4921,Leshin,58600,2.6207068,0.23059635,8.16745,138.41695,229.55929,156.3972949,13.5,0.15
4922,Clarke,58600,2.1451255,0.20184628,6.6753100000000005,108.57899,188.50297,313.1784437,14.3,0.15
4923,Hiltner,58600,2.1535393,0.21470796,1.73128,148.79555,180.07781,243.0191429,15.1,0.15
4924,Zhoushan,58600,3.0463833,0.24886421,8.34423,140.28375,243.22895,32.3264078,11.9,0.15
4925,Smoktunovskij,58600,2.8330336,0.05362025,1.29524,328.3182,332.97279,309.264552,13.0,0.15
4926,O'Connell,58600,2.8863094,0.08746215,1.16376,40.51121,329.03546,183.4510827,13.2,0.15
4927,Vermeer,58600,2.1475293,0.18964206,2.46058,131.73949,207.48676,266.2133645,14.3,0.15
4928,Yamatai,58600,2.2107464,0.05824292,2.48702,89.56939,127.48308,228.1220325,13.8,0.15
4929,Rephiltim,58600,3.1210869,0.05095148,15.53395,359.17073,122.10269,188.6486497,11.2,0.15
4930,Tomsk,58600,2.5792966,0.28205803,23.1707,281.4772,154.96152,328.729421,12.6,0.15
4931,Texstapa,58600,3.1110086,0.01492021,12.91604,291.35131,141.4917,241.5299128,12.0,0.15
4932,Tylerlinder,58600,2.3313156,0.12006979,1.86496,87.60982,151.11643999999995,244.772817,13.7,0.15
4933,Rhoneranger,58600,3.001628,0.11048462,10.95918,152.50935,187.55497,94.9879834,12.4,0.15
4934,Maslachkova,58600,2.1945816,0.14693251,5.72715,275.15186,122.61941000000002,83.38419859999998,13.2,0.15
4935,Butakov,58600,2.2760023,0.12606848,5.9121,284.40033,155.69661000000005,242.2030586,13.6,0.15
4936,Lintott,58600,2.5983927,0.16023410000000002,16.92982,336.60105,275.43804,256.8660835,12.4,0.15
4937,Papadopoulos,58600,2.3525185,0.07657376,4.56902,194.90367,222.30235,140.21001769999998,13.7,0.15
4938,Scovil,58600,2.528671,0.15606965,5.37915,93.51871,9.71883,293.1119293,13.3,0.15
4939,Polenov,58600,3.1017275,0.17427359,2.2847,273.00546,118.24905,317.36541580000005,12.2,0.15
4940,Yahagi,58600,3.1898142,0.17400733,1.87376,265.86344,129.33122,261.2361379,12.6,0.15
4941,Munroe,58600,2.201517,0.13595509,3.83379,11.32117,278.08495,190.1798379,13.5,0.15
4942,Lac,d'Orient,58600,2.6481109,0.17679389,11.97502,135.65868,241.38256,91.1521238,13.0
4943,Kozlovskij,58600,2.7435465,0.06262089,4.49227,85.36001999999998,279.40341,338.3988613,13.3,0.15
4944,Ikenozenni,58600,2.5708221,0.31772339,4.89932,137.58297,193.82387,251.7203165,13.0,0.15
4945,Askalaphus,58600,5.3175895,0.05027991,21.86056,205.85047,59.0299,52.1020017,10.2,0.15
4946,Ninkasi,58600,1.3699728,0.16848505,15.65255,192.93187,215.45272000000003,355.3404512,18.0,0.15
4947,Hideonishimura,58600,2.1690857,0.19355707,3.09662,124.88419,246.50457000000003,218.6726028,14.0,0.15
4948,Akasofu,58600,2.2720093,0.16820288,4.8132,275.79956,108.64296000000002,335.5402285,13.4,0.15
4949,House,58600,2.7467562,0.18308343,12.70059,251.33692,189.86778,244.7558875,12.6,0.15
4950,Iwamoto,58600,2.2563372,0.16690664,7.53258,340.25255,101.03115,253.158639,13.3,0.15
4951,Kibeshigemaro,58600,3.1595046,0.11330161,16.98541,102.41639,121.86871,29.826692200000004,11.8,0.15
4953,Eric,58600,2.0011601,0.4494348,17.42801,52.60981999999999,358.44601,11.633607199999998,12.5,0.15
4954,Gold,58600,3.1536836,0.13262611,7.40504,250.09437000000003,89.44960999999998,60.7690102,11.7,0.15
4955,Noymer,58600,2.4437829,0.20420828,24.24745,201.40568,169.32809,196.7183261,13.3,0.15
4956,Brucemurray,58600,1.5654455,0.21893616,35.011959999999995,97.46586,254.90079,224.0978512,14.9,0.15
4957,Wellnitz,58600,3.010942,0.07831283,9.0881,216.41394,252.98162,318.6524681,11.5,0.15
4958,Niinoama,58600,3.1464733,0.0094708,8.99818,319.9286,128.71241,236.0030417,10.9,0.15
4959,Mayo,58600,3.0189613,0.09458923,0.94177,277.61009,120.53136,28.4547206,13.3,0.15
4960,Timherder,58600,3.1569828,0.21912952,7.79923,54.58949000000001,313.7382,318.6899295,12.1,0.15
4961,Vecherka,58600,2.6073688,0.14411649,15.09609,141.69886,206.99432,310.8290305000001,12.3,0.15
4962,Kanroku,58600,2.5989202,0.16435374,11.77711,302.99892,332.39158,272.7969999,11.9,0.15
4963,Kourovka,58600,2.2621001,0.1242911,4.91818,204.78668,167.46311,194.712653,13.6,0.15
4964,Takeda,58600,2.9187551,0.05814451,0.8963700000000001,67.3528,255.71596,96.3348347,13.9,0.15
4965,Edolsen,58600,2.6321635,0.21234,9.94706,183.6605,175.92862,141.763371,13.7,0.15
4966,Glia,58600,3.1490302,0.03784891,16.97769,227.75919,124.77637,320.4034617000001,11.3,0.15
4967,Suzamur,58600,2.5244408,0.11225246,5.41476,281.43209,132.20685,337.4292358,12.9,0.15
4968,Lawrence,58600,2.7569607,0.36260543,31.44368,245.29861,186.50974,358.2288243000001,12.8,0.15
4969,Druyan,58600,2.3953702,0.14556018,7.229660000000001,130.16432,292.1296,69.4385583,13.4,0.15
4970,Hoshinohiroba,58600,2.3847597,0.17675777,3.20249,342.74409,104.73111,105.2452751,13.1,0.15
4971,Pachelbel,58600,3.1180001,0.19051196,1.22889,194.85323,175.03217,146.5083645,13.3,0.15
4972,Showa,58600,3.4285001,0.07650381,18.91853,131.00991000000002,352.83941,263.6528104,11.5,0.15
4973,Elford,58600,2.6054302,0.10733998,13.792,24.70821,176.07467,348.3430946000001,12.8,0.15
4974,Dohmoto,58600,3.0793891,0.23078852,14.99205,227.78847,179.6684,69.7561627,12.3,0.15
4975,Choukyongchol,58600,3.0232895,0.10063944,8.623330000000001,65.498,260.7356,101.5869864,11.6,0.15
4976,Rauthgundis,58600,2.2921359,0.11130948,5.88415,294.44832,349.77608,30.6367788,14.0,0.15
4977,Seitz,58600,2.6310239,0.21038009,6.01585,244.15298,155.49764,227.3988639,13.4,0.15
4978,Otawara,58600,2.168156,0.14468701,0.9104,206.78452,69.77646999999999,339.5705351000001,14.3,0.15
4979,Magomaev,58600,3.1978008,0.14377473,1.82879,6.8422399999999985,60.40833000000001,229.98983790000003,12.4,0.15
4980,Sinyavskaya,58600,2.8752099,0.07954768,2.70378,300.46429,50.03919000000001,93.2517346,12.3,0.15
